application_id,application_date,agent_id,location_id,product_id,requested_amount_egp,decision,is_disbursed,disbursed_amount_egp
APP0000001,2026-05-15,AG0001,LOC001,P3,19900.0,Approved,1,16600.0
APP0000002,2026-05-16,AG0001,LOC001,P3,36700.0,Approved,1,27200.0
APP0000003,2026-05-17,AG0001,LOC001,P2,19600.0,Approved,1,14200.0
APP0000004,2026-05-17,AG0001,LOC001,P2,33100.0,Rejected,0,0.0
APP0000005,2026-05-17,AG0001,LOC001,P2,26600.0,Rejected,0,0.0
APP0000006,2026-05-19,AG0001,LOC001,P3,27200.0,Approved,1,22900.0
APP0000007,2026-05-21,AG0001,LOC001,P2,53700.0,Rejected,0,0.0
APP0000008,2026-05-23,AG0001,LOC001,P3,61500.0,Rejected,0,0.0
APP0000009,2026-05-23,AG0001,LOC001,P3,36200.0,Approved,1,28500.0
APP0000010,2026-05-27,AG0001,LOC001,P3,34300.0,Rejected,0,0.0
APP0000011,2026-06-03,AG0001,LOC001,P3,38400.0,Rejected,0,0.0
APP0000012,2026-06-06,AG0001,LOC001,P3,75100.0,Approved,1,63400.0
APP0000013,2026-06-06,AG0001,LOC001,P3,31900.0,Approved,1,31500.0
APP0000014,2026-06-13,AG0001,LOC001,P3,36900.0,Approved,1,29400.0
APP0000015,2026-06-13,AG0001,LOC001,P2,28800.0,Approved,1,22200.0
APP0000016,2026-06-14,AG0001,LOC001,P3,63000.0,Rejected,0,0.0
APP0000017,2026-06-20,AG0001,LOC001,P3,56400.0,Rejected,0,0.0
APP0000018,2026-06-20,AG0001,LOC001,P3,57000.0,Approved,1,56700.0
APP0000019,2026-06-20,AG0001,LOC001,P2,29600.0,Rejected,0,0.0
APP0000020,2026-06-23,AG0001,LOC001,P3,48600.0,Approved,1,38900.0
APP0000021,2026-06-27,AG0001,LOC001,P2,32400.0,Approved,0,0.0
APP0000022,2026-06-29,AG0001,LOC001,P2,37800.0,Approved,0,0.0
APP0000023,2026-01-01,AG0002,LOC001,P2,35400.0,Approved,1,34400.0
APP0000024,2026-01-01,AG0002,LOC001,P3,39500.0,Approved,1,35500.0
APP0000025,2026-01-02,AG0002,LOC001,P4,13200.0,Approved,1,10700.0
APP0000026,2026-01-05,AG0002,LOC001,P1,8900.0,Approved,1,8300.0
APP0000027,2026-01-06,AG0002,LOC001,P3,21200.0,Approved,1,17700.0
APP0000028,2026-01-06,AG0002,LOC001,P3,52700.0,Approved,1,51500.0
APP0000029,2026-01-08,AG0002,LOC001,P3,30000.0,Approved,1,29700.0
APP0000030,2026-01-09,AG0002,LOC001,P3,36300.0,Approved,1,33500.0
APP0000031,2026-01-09,AG0002,LOC001,P3,30700.0,Rejected,0,0.0
APP0000032,2026-01-09,AG0002,LOC001,P3,23000.0,Approved,1,18300.0
APP0000033,2026-01-10,AG0002,LOC001,P2,50300.0,Approved,1,40900.0
APP0000034,2026-01-10,AG0002,LOC001,P3,30000.0,Approved,1,29300.0
APP0000035,2026-01-10,AG0002,LOC001,P3,46500.0,Rejected,0,0.0
APP0000036,2026-01-11,AG0002,LOC001,P2,24600.0,Approved,0,0.0
APP0000037,2026-01-12,AG0002,LOC001,P3,35800.0,Approved,1,29900.0
APP0000038,2026-01-13,AG0002,LOC001,P3,40900.0,Approved,1,29200.0
APP0000039,2026-01-13,AG0002,LOC001,P3,48900.0,Approved,1,40300.0
APP0000040,2026-01-14,AG0002,LOC001,P1,32600.0,Approved,1,23900.0
APP0000041,2026-01-17,AG0002,LOC001,P3,45500.0,Approved,1,32100.0
APP0000042,2026-01-18,AG0002,LOC001,P3,28000.0,Rejected,0,0.0
APP0000043,2026-01-19,AG0002,LOC001,P3,46400.0,Approved,1,41300.0
APP0000044,2026-01-20,AG0002,LOC001,P3,49100.0,Approved,1,34600.0
APP0000045,2026-01-20,AG0002,LOC001,P3,30500.0,Rejected,0,0.0
APP0000046,2026-01-21,AG0002,LOC001,P4,31500.0,Approved,0,0.0
APP0000047,2026-01-22,AG0002,LOC001,P2,39200.0,Rejected,0,0.0
APP0000048,2026-01-23,AG0002,LOC001,P3,26900.0,Approved,1,22000.0
